initial_obj,final_obj,total_time,iterations,customers_served,final_profit,final_distance,construction_time,path,strategy,alpha,seed,op_set,shuffle,k_mod
416.05,1694.03,3.7735350131988525,45,60,1765.0,709.7,1763390104.2563546,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/rc108_cap.json,best,0.1,123,"('insert', 'relocate', 'swap', '2opt')",False,3
416.05,1445.34,1.7774698734283447,32,50,1522.0,766.5999999999999,1763390108.1950128,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/rc108_cap.json,best,0.1,123,"('insert', 'relocate', '2opt')",False,3
416.05,431.43,0.013561487197875977,5,20,480.0,485.7,1763390110.0710642,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/rc108_cap.json,best,0.1,123,"('swap',)",False,3
416.05,1694.03,3.886077404022217,45,60,1765.0,709.7,1763390110.093753,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/rc108_cap.json,best,0.1,987,"('insert', 'relocate', 'swap', '2opt')",False,3
416.05,1445.34,1.8256726264953613,32,50,1522.0,766.5999999999999,1763390114.1506374,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/rc108_cap.json,best,0.1,987,"('insert', 'relocate', '2opt')",False,3
416.05,431.43,0.012014150619506836,5,20,480.0,485.7,1763390116.0721416,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/rc108_cap.json,best,0.1,987,"('swap',)",False,3
160.25,1483.35,3.8007469177246094,45,61,1817.0,667.3,1763390116.093277,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/rc108_cap.json,best,0.5,42,"('insert', 'relocate', 'swap', '2opt')",False,3
160.25,1305.55,2.1143882274627686,35,53,1648.0,684.9,1763390120.0580869,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/rc108_cap.json,best,0.5,42,"('insert', 'relocate', '2opt')",False,3
160.25,237.15,0.012378931045532227,5,20,480.0,485.7,1763390122.2821217,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/rc108_cap.json,best,0.5,42,"('swap',)",False,3
160.25,1483.35,3.861685276031494,45,61,1817.0,667.3,1763390122.3053901,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/rc108_cap.json,best,0.5,123,"('insert', 'relocate', 'swap', '2opt')",False,3
160.25,1305.55,2.108030080795288,35,53,1648.0,684.9,1763390126.3376722,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/rc108_cap.json,best,0.5,123,"('insert', 'relocate', '2opt')",False,3
160.25,237.15,0.01164698600769043,5,20,480.0,485.7,1763390128.5544424,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/rc108_cap.json,best,0.5,123,"('swap',)",False,3
160.25,1483.35,3.8337275981903076,45,61,1817.0,667.3,1763390128.5752552,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/rc108_cap.json,best,0.5,987,"('insert', 'relocate', 'swap', '2opt')",False,3
160.25,1305.55,2.201157331466675,35,53,1648.0,684.9,1763390132.577208,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/rc108_cap.json,best,0.5,987,"('insert', 'relocate', '2opt')",False,3
160.25,237.15,0.011887073516845703,5,20,480.0,485.7,1763390134.895912,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/rc108_cap.json,best,0.5,987,"('swap',)",False,3
416.05,955.69,0.828179121017456,28,45,1038.0,823.1,1763390134.9169598,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/rc108_cap.json,first,0.1,42,"('insert', 'relocate', 'swap', '2opt')",False,3
416.05,955.69,0.7943482398986816,28,45,1038.0,823.1,1763390135.8317862,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/rc108_cap.json,first,0.1,42,"('insert', 'relocate', '2opt')",False,3
416.05,431.43,0.011912107467651367,5,20,480.0,485.7,1763390136.699009,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/rc108_cap.json,first,0.1,42,"('swap',)",False,3
416.05,955.69,0.8112196922302246,28,45,1038.0,823.1,1763390136.7202485,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/rc108_cap.json,first,0.1,123,"('insert', 'relocate', 'swap', '2opt')",False,3
416.05,955.69,0.7945375442504883,28,45,1038.0,823.1,1763390137.6213741,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/rc108_cap.json,first,0.1,123,"('insert', 'relocate', '2opt')",False,3
