initial_obj,final_obj,total_time,iterations,customers_served,final_profit,final_distance,construction_time,T_start,alpha_cooling,max_iter_per_temp,path,alpha,seed,op_set,k_mod,t_start,alpha_cool,iter_temp
491.75,506.97,1.568950891494751,649,26,570.0,630.3,0.00048232078552246094,100.0,0.8,400,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_c105_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,100.0,0.8,400
491.75,506.97,1.6384570598602295,672,26,570.0,630.3,0.0005054473876953125,100.0,0.9,200,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_c105_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,100.0,0.9,200
491.75,511.59,3.291548013687134,1326,26,580.0,684.1,0.0004646778106689453,100.0,0.9,400,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_c105_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,100.0,0.9,400
491.75,511.59,3.35115122795105,1277,26,580.0,684.1,0.0004658699035644531,100.0,0.95,200,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_c105_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,100.0,0.95,200
491.75,501.12,6.241797924041748,3284,25,560.0,588.8,0.0004818439483642578,100.0,0.95,400,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_c105_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,100.0,0.95,400
491.75,501.12,15.758850812911987,8252,25,560.0,588.8,0.0005338191986083984,100.0,0.99,200,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_c105_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,100.0,0.99,200
491.75,501.12,32.32224130630493,16722,25,560.0,588.8,0.0005128383636474609,100.0,0.99,400,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_c105_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,100.0,0.99,400
409.15,601.46,0.7030611038208008,1375,35,669.0,675.4,0.0009951591491699219,20.0,0.8,200,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,20.0,0.8,200
409.15,640.08,1.3231685161590576,3378,36,708.0,679.2,0.0005714893341064453,20.0,0.8,400,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,20.0,0.8,400
409.15,683.89,1.3391590118408203,3309,37,750.0,651.5,0.0005495548248291016,20.0,0.9,200,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,20.0,0.9,200
409.15,670.07,2.7671902179718018,7366,38,744.0,739.3,0.0006201267242431641,20.0,0.9,400,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,20.0,0.9,400
409.15,648.89,2.833871841430664,6482,36,719.0,701.1,0.0006117820739746094,20.0,0.95,200,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,20.0,0.95,200
409.15,664.53,5.4451117515563965,14408,37,727.0,624.7,0.0006003379821777344,20.0,0.95,400,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,20.0,0.95,400
409.15,666.19,13.83702301979065,41836,37,727.0,608.1,0.0005438327789306641,20.0,0.99,200,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,20.0,0.99,200
409.15,664.96,27.772740840911865,78461,37,727.0,620.4,0.0007297992706298828,20.0,0.99,400,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,20.0,0.99,400
409.15,606.85,0.7027297019958496,2028,35,678.0,711.5,0.0006022453308105469,50.0,0.8,200,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,50.0,0.8,200
409.15,614.24,1.3576033115386963,4792,35,678.0,637.5999999999999,0.0006322860717773438,50.0,0.8,400,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,50.0,0.8,400
409.15,612.98,1.4205243587493896,4840,35,678.0,649.5,0.0006096363067626953,50.0,0.9,200,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,50.0,0.9,200
409.15,609.22,2.9803900718688965,9140,35,678.0,687.8,0.0006546974182128906,50.0,0.9,400,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,50.0,0.9,400
409.15,614.68,2.956650495529175,9822,35,678.0,629.6,0.0005888938903808594,50.0,0.95,200,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,50.0,0.95,200
409.15,609.56,6.0775697231292725,15856,35,678.0,678.5,0.0005745887756347656,50.0,0.95,400,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,50.0,0.95,400
409.15,615.0,15.001368284225464,50426,35,678.0,628.6,0.0005800724029541016,50.0,0.99,200,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,50.0,0.99,200
409.15,615.56,30.372591257095337,90169,35,678.0,617.5,0.0005750656127929688,50.0,0.99,400,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,50.0,0.99,400
409.15,664.74,0.7561056613922119,2381,36,728.0,632.2,0.00060272216796875,100.0,0.8,200,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,100.0,0.8,200
409.15,661.95,1.5383386611938477,4815,36,728.0,660.5,0.0005762577056884766,100.0,0.8,400,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,100.0,0.8,400
409.15,667.19,1.5723910331726074,4979,36,728.0,608.1,0.0005548000335693359,100.0,0.9,200,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,100.0,0.9,200
409.15,667.5,3.1046364307403564,9857,36,728.0,605.0,0.0006060600280761719,100.0,0.9,400,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,100.0,0.9,400
409.15,667.5,3.149400234222412,10496,36,728.0,605.0,0.000591278076171875,100.0,0.95,200,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,100.0,0.95,200
409.15,665.79,6.4960105419158936,19783,36,728.0,622.1,0.0006015300750732422,100.0,0.95,400,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,100.0,0.95,400
409.15,667.69,16.43648099899292,46465,36,728.0,603.1,0.0005812644958496094,100.0,0.99,200,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,100.0,0.99,200
409.15,667.5,33.19596791267395,96030,36,728.0,603.1,0.0005557537078857422,100.0,0.99,400,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,100.0,0.99,400
525.78,624.52,0.7511515617370605,740,34,700.0,754.8,0.0005943775177001953,20.0,0.8,200,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_c107_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,20.0,0.8,200
525.78,686.52,1.5164132118225098,1069,35,760.0,734.8,0.0005338191986083984,20.0,0.8,400,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_c107_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,20.0,0.8,400
525.78,682.77,1.4973104000091553,1166,35,760.0,768.8,0.0005800724029541016,20.0,0.9,200,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_c107_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,20.0,0.9,200
525.78,653.3,3.0064356327056885,3416,35,740.0,819.3,0.0005457401275634766,20.0,0.9,400,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_c107_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,20.0,0.9,400
525.78,658.0699999999999,3.141061544418335,3306,35,740.0,819.3,0.0005567073822021484,20.0,0.95,200,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_c107_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,20.0,0.95,200
525.78,702.3199999999999,6.142862319946289,4470,35,780.0,759.8,0.000579833984375,20.0,0.95,400,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_c107_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,20.0,0.95,400
525.78,670.95,15.122101306915283,10487,35,750.0,790.5,0.0005528926849365234,20.0,0.99,200,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_c107_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,20.0,0.99,200
525.78,674.3,30.11910057067871,17227,35,750.0,757.0,0.0005612373352050781,20.0,0.99,400,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_c107_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,20.0,0.99,400
525.78,592.9,0.7468714714050293,603,33,670.0,771.0,0.0005755424499511719,50.0,0.8,200,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_c107_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,50.0,0.8,200
525.78,599.16,1.5442776679992676,1294,33,670.0,708.4,0.0005390644073486328,50.0,0.8,400,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_c107_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,50.0,0.8,400
525.78,606.25,1.6456317901611328,1012,33,680.0,737.5,0.0005269050598144531,50.0,0.9,200,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_c107_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,50.0,0.9,200
525.78,598.66,3.1880881786346436,2691,33,670.0,701.5,0.0005342960357666016,50.0,0.9,400,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_c107_cap.json,0.1,42,"('insert', 'relocate', 'swap', '2opt')",3,50.0,0.9,400
